"","HomeTeam","AwayTeam","Season","Date","FTHG","FTAG","FTR","HTHG","ATHG","HTR","OddsH","OddsD","OddsA","BetVictorH","BetVictorD","BetVictorA","tenBetH","tenBetD","tenBetA","EighteenBetH","EighteenBetD","EighteenBetA","UnibetH","UnibetD","UnibetA","bwinH","bwinD","bwinA","PinnacleH","PinnacleD","PinnacleA"
"1:314","Bohemians","Galway",8,"2016-06-24",1,1,"D",1,1,"D",2.2,3.3,3.3,2.2,3.3,3.3,2.1,3.25,3.35,2.19,3.25,3.2,2.05,3.25,3.65,2.05,3.1,3.4,2.23,3.45,3.48
"1:315","Derry City","Wexford",8,"2016-06-24",1,0,"H",1,0,"H",1.5,4.2,6.5,1.5,4.2,6.5,1.47,4.15,6.45,1.49,4.2,5.9,1.45,4.25,6.5,1.4,4.2,6.75,1.53,4.34,7.1
"1:316","Dundalk","St. Patricks",8,"2016-06-24",2,0,"H",0,0,"D",1.36,5,8,1.36,5,8,1.34,4.6,8.75,1.37,4.48,7.85,1.38,4.5,8.5,1.4,4.25,6.5,1.38,4.94,10.41
"1:317","Sligo Rovers","Bray",8,"2016-06-24",0,0,"D",0,0,"D",1.6,3.9,5.75,1.6,3.9,5.75,1.56,3.8,5.85,1.62,3.7,5.2,1.53,3.9,6.25,1.6,3.75,4.75,1.61,4.07,6.29
"1:318","Derry City","Dundalk",8,"2016-07-01",0,5,"A",0,3,"A",5.75,3.5,1.67,5.75,3.5,1.67,5.45,3.45,1.67,5.05,3.45,1.69,5,3.5,1.7,4.5,3.4,1.7,6.21,3.69,1.69
"1:319","Bray","Wexford",8,"2016-07-02",3,0,"H",1,0,"H",2.25,3.5,3.1,2.25,3.5,3.1,2.2,3.3,3.1,2.27,3.35,2.94,2.2,3.3,3.15,2.25,3.2,2.9,2.32,3.47,3.26
"1:320","Longford","Bohemians",8,"2016-07-02",0,1,"A",0,1,"A",6.25,4,1.53,6.25,4,1.53,6.05,3.85,1.54,6.15,3.73,1.54,6.5,3.75,1.53,6,3.6,1.53,6.25,4.17,1.6
"1:321","Dundalk","Longford",8,"2016-07-05",4,3,"H",1,1,"D",1.06,13,29,1.06,13,29,1.05,11,28.25,1.07,8.5,29.5,1.06,10,26,1.07,8.75,21,1.09,13.5,33
"1:322","Finn Harps","Galway",8,"2016-07-08",1,0,"H",0,0,"D",4,3.4,1.95,4,3.4,1.95,3.85,3.3,1.95,3.58,3.3,2.02,4.2,3.5,1.8,4.2,3.3,1.78,4.13,3.53,2
"1:323","Bohemians","Bray",8,"2016-07-08",0,0,"D",0,0,"D",1.85,3.4,4.4,1.85,3.4,4.4,1.8,3.3,4.65,1.86,3.15,4.48,1.8,3.3,4.5,1.78,3.2,4.4,1.85,3.54,4.97
"1:324","Sligo Rovers","St. Patricks",8,"2016-07-09",1,0,"H",0,0,"D",1.93,3.5,3.9,1.93,3.5,3.9,1.95,3.35,3.75,2,3.35,3.55,2.05,3.15,3.75,2,3.1,3.6,2.01,3.59,4
"1:325","Wexford","Cork City",8,"2016-07-10",0,1,"A",0,1,"A",9,5,1.33,9,5,1.33,8.25,4.8,1.34,8.23,4.88,1.33,8,4.5,1.37,7.75,4.4,1.34,9.28,5.16,1.38
"1:326","Shamrock Rovers","Bohemians",8,"2016-07-15",3,1,"H",2,1,"H",2.2,3.1,3.6,2.2,3.1,3.6,2.2,3.05,3.4,2.26,2.94,3.4,2.25,3.15,3.2,2.25,3.2,2.9,2.25,3.25,3.67
"1:327","Derry City","Longford",8,"2016-07-15",4,0,"H",1,0,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:328","Bray","Finn Harps",8,"2016-07-16",1,0,"H",1,0,"H",2.1,3.1,3.8,2.1,3.1,3.8,2.1,3.1,3.65,2.17,3.08,3.43,2.05,3.15,3.75,2.05,3.1,3.4,2.21,3.23,3.79
"1:329","Bohemians","Derry City",8,"2016-07-22",0,1,"A",0,1,"A",3.25,3.13,2.3,3.25,3.13,2.3,3.15,3,2.35,3.2,3,2.32,3,3,2.45,3,3,2.3,3.44,3.15,2.4
